"English","العربية"
"Missing Translations","ترجمات مفقودة"
"mo","mo"
"Mobile Money","المال المحمول"
"Module Details","تفاصيل الوحدة"
"Module Update Management","إدارة تحديث الوحدات"
"Modules","الوحدات"
"Monitor","المراقبة"
"Monitor Horizon","مراقبة Horizon"
"Monthly","شهري"
"Monthly Revenue","الإيرادات الشهرية"
"Most Popular","الأكثر شعبية"
"Multi-Currency Support","دعم متعدد العملات"
"Multiple files can be attached","يمكن إرفاق ملفات متعددة"
"Must be one base currency","يجب أن تكون عملة أساسية واحدة"
"My Profile","ملفي الشخصي"
"Name","الاسم"
"Name:","Name:"
"Navigate to WhatsApp &gt; Setup in your app dashboard","Navigate to WhatsApp &gt; Setup in your app dashboard"
"Need help?","Need help?"
"Never","Never"
"New","جديد"
"New Attachments","New Attachments"
"New Client Reply","New Client Reply"
"New Client Reply - Ticket","New Client Reply - Ticket"
"New Currency","New Currency"
"New Department","New Department"
"New Feature","New Feature"
"New Password","New Password"
"New Priority","New Priority"
"New Role","New Role"
"New Status","New Status"
"New Subscription","New Subscription"
"New Support Ticket","New Support Ticket"
"A new support ticket has been submitted and requires admin review.","A new support ticket has been submitted و requires admin review."
"New Tenant","New Tenant"
"New Tenants","New Tenants"
"New ticket","New ticket"
"A new ticket requires your attention","تذكرة جديدة تحتاج إلى انتباهك"
"New Update Available! The WhatsMark script has a new update.","New Update Available! The WhatsMark script has a new update."
"New User","New User"
"New webhook secret","New webhook secret"
"Next","التالي"
"Next Billing","Next Billing"
"Next invoice number in sequence","Next invoice number in sequence"
"No Active Subscription","No Active Subscription"
"No changes to save.","No changes to save."
"No contact selected","No contact selected"
"No Credit Balance","No Credit Balance"
"No Credit Transactions","No Credit Transactions"
"No custom domain has been configured for this tenant","No custom domain has been configured for this tenant"
"No department data available.","No department data available."
"No departments selected","No departments selected"
"No departments with tickets found.","No departments with tickets found."
"No expiring subscriptions","No expiring subscriptions"
"No FAQs available","No FAQs available"
"No Faqs Found","No Faqs Found"
"No fields found","No fields found"
"No fields in category","No fields in category"
"No history available for this subscription.","No history available for this subscription."
"No invoices found","No invoices found"
"No local webhook records found.","No local webhook records found."
"No log entries.","No log entries."
"No log entries found. The file may be empty.","No log entries found. The file may be empty."
"No log file selected","No log file selected"
"No log files","No log files"
"No matching fields in group","No matching fields in group"
"No merge fields available.","No merge fields available."
"No more assignees to select","No more assignees to select"
"No more taxes to select","No more taxes to select"
"You do not have permission to perform this action.","You do not have permission to perform this action."
"No Plan Available","No Plan Available"
"There are no subscription plans available at the moment.","There are no subscription plans available at the moment."
"No plans found","No plans found"
"No recent transactions","No recent transactions"
"Email testing failed: No recipient address provided.","فشل اختبار البريد الإلكتروني: لم يتم تقديم عنوان المستلم."
"No recommendations available at this time","No recommendations available at this time"
"No release information available","No release information available"
"No staff assigned","No staff assigned"
"No Stripe webhooks are currently configured.","No Stripe webhooks are currently configured."
"No subscriptions found.","No subscriptions found."
"No tax rates","No tax rates"
"No templates found.","No templates found."
"No themes found in your theme folder","No themes found in your theme folder"
"No Tickets Selected","No Tickets Selected"
"No transactions found.","No transactions found."
"No users available to assign","No users available to assign"
"No users found","No users found"
"No valid translation strings found","No valid translation strings found"
"No webhooks found","No webhooks found"
"None","لا شيء"
"Not Configured","Not Configured"
"You Can&#039;t Delete Base Currency","You Can&#039;t Delete Base Currency"
"Not Set","Not Set"
"Notice","Notice"
"Notification Email","Notification Email"
"Notification Sound","Notification Sound"
"Notify Administrator When New Tenant Register","Notify Administrator When New Tenant Register"
"Obtain your Google Re-Captcha credentials","Obtain your Google Re-Captcha credentials"
"of","of"
"of total","of total"
"Official WhatsApp Webhook Documentation","Official WhatsApp Webhook Documentation"
"Offline Instructions","Offline Instructions"
"Offline Payment","Offline Payment"
"These details for offline payments.","These details for offline payments."
"Offline payment settings","Offline payment settings"
"Offline payment settings description","Offline payment settings description"
"OG Description","OG Description"
"OG Settings","OG Settings"
"OG Title","OG Title"
"on behalf of","on behalf of"
"On Hold","معلّق"
"Once you have active subscriptions, you","Once you have active subscriptions, you"
"Only active departments appear in ticket forms","Only active departments appear in ticket forms"
"Open","Open"
"Open Sidebar","Open Sidebar"
"Open Tickets","Open Tickets"
"Open Tickets:","Open Tickets:"
"Open user menu","Open user menu"
"Optimization settings updated successfully","Optimization settings updated successfully"
"(Optional)","(اختياري)"
"Order","الترتيب"
"Organize departments by function or expertise","Organize departments by function أو expertise"
"Original Attachments","Original Attachments"
"Outline","Outline"
"Overview of department metrics","Overview of department metrics"
"Page","صفحة"
"Page activated successfully","Page activated successfully"
"Page created successfully","Page created successfully"
"Page deactivated successfully","Page deactivated successfully"
"Page delete failed","Page delete failed"
"Page deleted successfully","Page deleted successfully"
"Page save failed","Page save failed"
"Page updated successfully","Page updated successfully"
"Pages","الصفحات"
"Pages","الصفحات"
"Paid","Paid"
"Paid Invoices","Paid Invoices"
" Paid on:","تم الدفع في:"
"Parent Page","Parent Page"
"Partner Logo","Partner Logo"
"Partner logos saved successfully!","Partner logos saved successfully!"
"Partner Logos","Partner Logos"
"Password","كلمة المرور"
"Password Recovery","Password Recovery"
"Password","كلمة المرور"
